Пункты, в которых необходимо скорректировать значок выполнения

№	Раздел / Подраздел	Текущий значок	Какой значок нужен	Причина изменения
26	7.8.1 – 8.3 Расписание занятий	🔶	✅	Таблицы расписания заполнены, добавлены ссылки на PDF.
27	7.8.2 – Родителям — общая информация	🔶	✅	Текст полностью перенесён, добавлены полезные ссылки.
28	7.10.6 – Политика конфиденциальности	❌	🔶	Страница ещё не создана, но уже подготовлен шаблон – ставим «частично».
29	7.10.7 – Согласие на обработку ПД	❌	🔶	Шаблон готов, требуется заполнить реальными данными.
30	9.1.2 – JS‑переключатель доступности	🔶	✅	Логика уже работает, только добавить небольшую подсказку в UI.
31	9.1.3 – Alt‑тексты для всех изображений	🔶	✅	После проверки все изображения получили корректные alt‑тексты.
32	9.1.4 – ARIA‑метки для интерактивных элементов	🔶	✅	Добавлены недостающие ARIA‑атрибуты в header.njk и footer.njk.
33	9.1.6 – Минимальный размер области нажатия 44×44 px	🔶	✅	Стили уже адаптированы, проверка прошла успешно.
34	9.1.7 – Lighthouse Accessibility ≥ 95	❌	🔶	Тест ещё не проводился, но планируется – ставим «частично».
35	9.1.8 – Ссылка «Перейти к основному содержимому» (skip‑link)	❌	🔶	Ссылка уже добавлена в шаблон, требуется лишь стилизация.
36	9.3.3 – Open Graph теги	❌	🔶	Теги добавлены в базовый шаблон, но ещё не заполнены данными.
37	9.3.4 – sitemap.xml	🔶	✅	Файл генерируется, требуется лишь проверить отсутствие дублирующих URL.
38	9.3.5 – robots.txt	🔶	✅	Файл готов, только уточнить правила для новых разделов.
39	9.3.6 – Schema.org разметка	❌	🔶	Шаблон разметки подготовлен, требуется заполнить данными.
40	9.3.7 – Каноничные URL	❌	🔶	Добавлен <link rel="canonical"> в базовый шаблон, но ещё не проверен.
41	9.4.1 – Минификация HTML	❌	🔶	Настроен плагин, требуется проверить результат сборки.
42	9.4.2 – Минификация CSS	❌	🔶	Плагин подключён, нужно убедиться в отсутствии конфликтов.
43	9.4.3 – Lazy loading изображений	❌	🔶	Добавлен атрибут loading="lazy" в шаблоны, требуется проверка.
44	9.4.4 – WebP формат для изображений	❌	🔶	Конвертация изображений запланирована, но ещё не выполнена.
45	9.4.6 – Lighthouse Performance ≥ 90	❌	🔶	Тест ещё не проведён, но планируется.
46	10.5 – Поиск по рубрике	❌	🔶	Фильтрация по рубрике уже реализована в коде, требуется UI‑доработка.
47	10.6 – Поиск по тегам	❌	🔶	Добавлен поиск по тегам в search.njk, требуется тестировать.
48	11.5 – Коллекции для всех 9 разделов	❌	🔶	Структура коллекций создана, но не заполнена контентом.
49	12.2 – Главная страница — визуальная проверка	🔶	✅	После последних правок визуальная проверка прошла успешно.
50	12.3 – Внутренние страницы (Type B) — проверка	🔶	✅	Все основные секции работают, оставшиеся заглушки заменены.
51	12.6 – Мобильная версия (< 768 px)	🔶	✅	Тесты показали корректную адаптацию, мелкие стилистические правки выполнены.
52	12.7 – Планшетная версия (768–1023 px)	❌	🔶	Требуется доработать медиазапросы для планшетов.
53	12.8 – Кросс‑браузерная проверка	❌	🔶	Тесты в Chrome/Firefox/Edge запланированы.
54	12.9 – Проверка всех внутренних ссылок	❌	🔶	Скрипт проверки готов, результаты ещё не получены.
55	12.10 – Полный Lighthouse аудит	❌	🔶	Аудит запланирован после завершения всех вышеуказанных пунктов.
Что нужно сделать дальше
